MNXM10949	Cs d deg3	M_cs_d_deg3_l	C37H54NO41S3		-5	bigg:M_cs_d_deg3;bigg:cs_d_deg3
MNXM10950	Cs d deg5	M_cs_d_deg5_l	C31H48NO32S2		-3	bigg:M_cs_d_deg5;bigg:cs_d_deg5
MNXM10951	Cs d pre3	M_cs_d_pre3_g	C37H53NO40S3X		-5	bigg:M_cs_d_pre3;bigg:cs_d_pre3
MNXM10952	Cs d pre4	M_cs_d_pre4_g	C45H66N2O45S3X		-5	bigg:M_cs_d_pre4;bigg:cs_d_pre4
MNXM10953	Cs d pre5	M_cs_d_pre5_g	C45H65N2O48S4X		-6	bigg:M_cs_d_pre5;bigg:cs_d_pre5
MNXM10954	Cs e deg1	M_cs_e_deg1_l	C45H65N2O52S5		-7	bigg:M_cs_e_deg1;bigg:cs_e_deg1
MNXM10955	Cs e deg2	M_cs_e_deg2_l	C45H66N2O49S4		-6	bigg:M_cs_e_deg2;bigg:cs_e_deg2
MNXM10956	Cs e deg5	M_cs_e_deg5_l	C31H47NO35S3		-4	bigg:M_cs_e_deg5;bigg:cs_e_deg5
MNXM10957	Cs e deg6	M_cs_e_deg6_l	C31H48NO32S2		-3	bigg:M_cs_e_deg6;bigg:cs_e_deg6
MNXM10958	Cs e pre3	M_cs_e_pre3_g	C37H52NO43S4X		-6	bigg:M_cs_e_pre3;bigg:cs_e_pre3
MNXM10959	Cs e pre5a	M_cs_e_pre5a_g	C45H64N2O51S5X		-7	bigg:M_cs_e_pre5a;bigg:cs_e_pre5a
MNXM10960	Cs e pre5b	M_cs_e_pre5b_g	C45H64N2O51S5X		-7	bigg:M_cs_e_pre5b;bigg:cs_e_pre5b
MNXM10980	C2m26dcoa	M_c2m26dcoa_m;M_c2m26dcoa_x	C31H46N7O17P3S		-4	bigg:M_c2m26dcoa;bigg:c2m26dcoa
MNXM11	diphosphate	M_ppi_c;M_ppi_m;M_ppi_x	HO7P2	174.9529	-3	chebi:13420;chebi:18361;chebi:29888;chebi:33017;chebi:33018;chebi:33019;chebi:42009;chebi:45067;chebi:45208;chebi:45212;chebi:8683;bigg:M_ppi;bigg:ppi;deprecated:MNXM108377;deprecated:MNXM125030;deprecated:MNXM125031;deprecated:MNXM89571;deprecated:MNXM96409;hmdb:HMDB00250;kegg:C00013;metacyc:PPI;reactome:111294;reactome:1132084;reactome:113541;reactome:113542;reactome:159450;reactome:2046049;reactome:389593;reactome:6806656;reactome:8878981;reactome:8938078;sabiork:1267;seed:cpd00012
MNXM1106	aminoacetone	M_aact_c	C3H8NO	74.1012	1	chebi:13767;chebi:17906;chebi:19025;chebi:2648;chebi:42749;chebi:42849;chebi:58320;bigg:M_aact;bigg:aact;hmdb:HMDB02134;hmdb:HMDB60177;kegg:C01888;metacyc:AMINO-ACETONE;seed:cpd01298
MNXM111	Fe(2+)	M_fe2_m	Fe	55.844	2	chebi:13319;chebi:13321;chebi:21129;chebi:24876;chebi:29033;chebi:34754;chebi:49599;bigg:M_fe2;bigg:fe2;deprecated:MNXM105788;hmdb:HMDB00692;kegg:C14818;metacyc:FE+2;sabiork:1275;seed:cpd10515
MNXM1113	kynurenate	M_kynate_c	C10H6NO3	188.1601	-1	chebi:14495;chebi:18344;chebi:1841;chebi:20378;chebi:24991;chebi:58454;deprecated:MNXM92402;hmdb:HMDB00715;kegg:C01717;metacyc:KYNURENATE;reactome:893587;reactome:893594;sabiork:5750;seed:cpd01182
MNXM11131	Clpnd	M_clpnd_c;M_clpnd_e	C22H33O2		-1	bigg:M_clpnd;bigg:clpnd
MNXM1114	melatonin	M_melatn_c	C13H16N2O2	232.2783	0	chebi:14577;chebi:16796;chebi:25180;chebi:6730;deprecated:MNXM90420;deprecated:MNXM90555;hmdb:HMDB01389;kegg:C01598;kegg:D08170;metacyc:N-ACETYL-5-METHOXY-TRYPTAMINE;reactome:209934;sabiork:5689;seed:cpd01124
MNXM1115	beta-nicotinamide D-riboside	M_rnam_c	C11H15N2O5	255.2467	1	chebi:12527;chebi:15927;chebi:21786;chebi:47589;chebi:7337;bigg:M_rnam;bigg:rnam;hmdb:HMDB00855;kegg:C03150;metacyc:NICOTINAMIDE_RIBOSE;reactome:8869377;reactome:8936514;reactome:8940077;seed:cpd02016
MNXM11293	D-Tagatose-1-phosphate	M_tag1p__D_c	C6H11O9P		-2	bigg:M_tag1p__D;bigg:tag1p__D;deprecated:MNXM48620;hmdb:HMDB06328
MNXM113	GMP	M_gmp_c;M_gmp_g	C10H12N5O8P	361.2058	-2	chebi:13341;chebi:14381;chebi:17345;chebi:24449;chebi:24450;chebi:29058;chebi:40119;chebi:42615;chebi:42647;chebi:42831;chebi:42887;chebi:42892;chebi:42979;chebi:47450;chebi:5228;chebi:58115;bigg:M_gmp;bigg:gmp;deprecated:MNXM526149;deprecated:MNXM89904;hmdb:HMDB01397;kegg:C00144;metacyc:GMP;sabiork:1309;seed:cpd00126
MNXM11301	N2m2mn	M_n2m2mn_l	C42H71N3O31		0	bigg:M_n2m2mn;bigg:n2m2mn
MNXM1131	2-aminomuconate	M_amuco_c	C6H6NO4	156.1167	-1	chebi:1021;chebi:11524;chebi:16886;chebi:19473;chebi:57937;chebi:77859;bigg:M_amuco;bigg:amuco;deprecated:MNXM162857;deprecated:MNXM91877;deprecated:MNXM91878;hmdb:HMDB01241;hmdb:HMDB02018;kegg:C02220;lipidmaps:LMFA01170082;metacyc:2-AMINO-MUCONATE;reactome:32913;seed:cpd01496
MNXM11331	Dmantipyrine	M_dmantipyrine_c;M_dmantipyrine_e	C10H10N2O		0	bigg:M_dmantipyrine;bigg:dmantipyrine
MNXM1137	5-hydroxyisourate	M_C11821_c;M_C11821_x	C5H4N4O4	184.1097	0	chebi:12137;chebi:18072;chebi:20588;chebi:2074;chebi:59562;bigg:5hiu;bigg:C11821;bigg:M_5hiu;bigg:M_C11821;hmdb:HMDB30097;kegg:C11821;metacyc:5-HYDROXYISOURATE;sabiork:1921;seed:cpd08625
MNXM1138	5beta-cholestane-3alpha,7alpha,26-triol	M_xol7ah3_m	C27H48O3	420.6682	0	chebi:1702;chebi:20226;chebi:28540;deprecated:MNXM3513;deprecated:MNXM35877;deprecated:MNXM90133;hmdb:HMDB12455;kegg:C05444;lipidmaps:LMST04030020;reactome:193387;reactome:193842;sabiork:7916;seed:cpd03227
MNXM114	L-proline	M_pro__L_c;M_pro__L_e;M_pro__L_m	C5H9NO2	115.1305	0	chebi:13154;chebi:17203;chebi:184637;chebi:21373;chebi:26271;chebi:32862;chebi:32864;chebi:32871;chebi:32872;chebi:42067;chebi:45040;chebi:45100;chebi:45159;chebi:58054;chebi:60039;chebi:6286;bigg:M_pro__L;bigg:pro__L;deprecated:MNXM12756;deprecated:MNXM89766;deprecated:MNXM92612;deprecated:MNXM96442;hmdb:HMDB00162;kegg:C00148;kegg:C16435;kegg:D00035;metacyc:PRO;reactome:113538;reactome:352033;reactome:379717;sabiork:25536;sabiork:82;seed:cpd00129;seed:cpd15140
MNXM114070	L-homocysteine	M_hcys__L_c;M_hcys__L_x	C4H9NO2S	135.185	0	chebi:13122;chebi:17588;chebi:21329;chebi:43117;chebi:58199;chebi:6245;chebi:63072;bigg:M_hcys__L;bigg:hcys__L;kegg:C00155;metacyc:HOMO-CYS;sabiork:1950
MNXM11408	DsT antigen	M_dsT_antigen_g	C36H56N3O26X		-2	bigg:M_dsT_antigen;bigg:dsT_antigen
MNXM114087	(2S)-2-amino-3-oxobutanoate	M_2aobut_c	C4H7NO3	117.1033	0	chebi:13048;chebi:16944;chebi:21195;chebi:35229;chebi:40668;chebi:40673;chebi:6156;chebi:78948;bigg:2aobut;bigg:M_2aobut;deprecated:MNXM815;hmdb:HMDB06454;kegg:C03508;lipidmaps:LMFA01060172;metacyc:AMINO-OXOBUT;reactome:6798652;sabiork:6672;seed:cpd02211
MNXM114091	(3R,5S)-1-pyrroline-3-hydroxy-5-carboxylate	M_1p3h5c_c;M_1p3h5c_m	C5H6NO3	128.1066	-1	chebi:6151;chebi:62612;bigg:1p3h5c;bigg:M_1p3h5c;hmdb:HMDB62585;kegg:C04281;metacyc:PYRROLINE-HYDROXY-CARBOXYLATE;seed:cpd02625
MNXM114114	thyroxine	M_thyox__L_c;M_thyox__L_e	C15H11I4NO4	776.87	0	chebi:13177;chebi:18332;chebi:21406;chebi:305790;chebi:30660;chebi:45848;chebi:58448;chebi:60302;chebi:7663;deprecated:MNXM89988;envipath:650babc9-9d68-4b73-9332-11972ca26f7b/compound/e3e43446-7778-4d3c-9229-ab4812add777;hmdb:HMDB00248;hmdb:HMDB01918;kegg:C01829;kegg:D06121;kegg:D06122;kegg:D08125;metacyc:L-THYROXINE;reactome:209937;reactome:352326;sabiork:2321;seed:cpd01259;seed:cpd27373
MNXM114141	2-hydroxy-3-(4-hydroxyphenyl)-propanoate	M_34hpl_m	C9H9O4	181.1659	-1	chebi:1117;chebi:11726;chebi:1430;chebi:17385;chebi:19598;chebi:19600;chebi:19932;chebi:28403;chebi:36659;bigg:34hpl;bigg:M_34hpl;deprecated:MNXM527270;hmdb:HMDB00755;kegg:C03672;metacyc:4-HYDROXYPHENYLLACTATE;sabiork:6782;seed:cpd02305
MNXM114152	N-retinylidene-N-retinylethanolamine	M_CE5747_c	C42H58NO	592.9155	1	chebi:71980;bigg:CE5747;bigg:M_CE5747;hmdb:HMDB60196;reactome:2466848;reactome:2467742;reactome:2467755
