,name,formula,mw,chebi,hmdb,kegg,lipidmaps,seed,metacyc,sabiork,reactome,mnxm,bigg
omeprazole,Omeprazole c,C17H19N3O3S,,,,,,,,,,MNXM3681,omeprazole_c;M_omeprazole;omeprazole
omhdecacid,W-hydroxydecanoicacid,C10H19O3,,,,,,,,,,MNXM163916,omhdecacid_c;M_omhdecacid;omhdecacid
onpthl,Naphthalene epoxide,C10H8O,,,,,,,,,,MNXM12425,onpthl_c;M_onpthl;onpthl
oretn,4-oxo-retonoic acid,C20H25O3,,,,,,,,,,MNXM6902,oretn_c;M_oretn;oretn
orn,Ornithine,C5H13N2O2,133.1684,11448;13148;15729;18257;19370;21367;32964;44667;46911;46912;46913;46914;6280;7784,HMDB00214;HMDB00818;HMDB04984;HMDB62654;HMDB62718,C00077;C01602;D08302,LMFA01100057,cpd00064;cpd19016,L-ORNITHINE,1290,113585;113586;29498,MNXM89689,orn_c;M_orn;M_orn__L;orn;orn__L
orn__D,D-Ornithine,C5H13N2O2,133.1684,13006;16176;21066;4220;57668,HMDB03374,C00515,,cpd00404,CPD-217,,,MNXM1148,orn__D_x;M_orn__D;orn__D
orot,Orotate C5H3N2O4,C5H3N2O4,155.0889,14698;16742;25719;25720;30839;44781;7787,HMDB00226,C00295;D00055,,cpd00247,OROTATE,2009,76632,MNXM235,orot_c;M_orot;orot
orot5p,Orotidine 5'-phosphate,C10H10N2O11P,365.1686,14699;15842;25723;57538;7788,HMDB00218,C01103,,cpd00810,OROTIDINE-5-PHOSPHATE,1700,111629,MNXM519,orot5p_c;M_orot5p;orot5p
oxa,Oxalate,C2O4,88.0201,132952;14702;16995;25729;25730;30623;44583;44820;46904;7811,HMDB02329,C00209,,cpd00180,OXALATE,1975,389819,MNXM291,oxa_c;M_oxa;oxa
pa_cho,Phosphatidate(2-),C3H5O4PRCO2R2CO2,,,,,,,,,,MNXM162299,pa_cho_c;M_pa_cho;pa_cho
pac,Phenylacetic acid,C8H7O2,135.1405,14779;18401;25975;25977;30745;44686;8082;8085,HMDB00209;HMDB01326;HMDB40733,C00548;C07086;C15583,,cpd19069,PHENYLACETATE,9203,177153,MNXM497,pac_c;M_pac;pac
pacald,Phenylacetaldehyde,C8H8O,120.1485,14778;16424;25972;43163;8084,HMDB06236,C00601,,cpd00464,PHENYLACETALDEHYDE,2112,500607,MNXM473,pacald_c;M_pacald;pacald
paf_cho,1-alkyl 2-acteylglycerol 3-phosphocholine,C11H23O4NPRCO2,,,,,,,,,,MNXM162883,paf_cho_c;M_paf_cho;paf_cho
pail345p_cho,"1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate(7-)",C11H13O22P4R2,,11284;14807;16618;26039;57836;8136;83243,HMDB04249,C05981,,cpd12802,PHOSPHATIDYLINOSITOL-345-TRIPHOSPHATE,8317,179838;38117,MNXM106,pail345p_cho_c;M_pail345p_cho;pail345p_cho
pail34p_cho,"1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate(5-)",C11H14O19P3R2,,11285;16152;57658;61105;672,HMDB62191;HMDB62327,C11554,,cpd13383,1-PHOSPHATIDYL-1D-MYO-INOSITOL-34-BISPH,13616,1806230;1806238;202247,MNXM209,pail34p_cho_c;M_pail34p_cho;pail34p_cho
pail35p_cho,"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate(5-)",C11H14O19P3R2,,11286;16851;57923;61103;673,,C11556,,cpd13384,1-PHOSPHATIDYL-1D-MYO-INOSITOL-35-BISPH,13618,1806205;1806224;1806289;1806290,MNXM170,pail35p_cho_c;M_pail35p_cho;pail35p_cho
pail3p_cho,1-phosphatidyl-1D-myo-inositol 3-phosphate(3-),C11H15O16P2R2,,11281;11287;17283;19084;58088;674;8133,HMDB03850,C04549,,cpd12572,CPD-177,7392,1806159;1806198;1806200;1806276;5676030;6798180,MNXM102,pail3p_cho_c;M_pail3p_cho;pail3p_cho
pail45p_cho,"Phosphatidylinositol 4,5-bisphosphate",C11H14O19P3R2,,11282;11288;14796;18348;19087;26028;28910;58456;58597;678;8127,,C04637,,cpd12582,PHOSPHATIDYL-MYO-INOSITOL-45-BISPHOSPHA,7456,179856;1806165;2023856;6810412,MNXM67,pail45p_cho_c;M_pail45p_cho;pail45p_cho
pail4p_cho,1-phosphatidyl-1D-myo-inositol 4-phosphate(3-),C11H15O16P2R2,,11289;17526;19085;58178;61083;675,,C01277,,cpd22880,CPD-1108,5495,,MNXM122,pail4p_cho_c;M_pail4p_cho;pail4p_cho
pail5p_cho,1-phosphatidyl-1D-myo-inositol 5-phosphate(3-),C11H15O16P2R2,,11290;16500;57795;676,,C11557,,cpd13385,1-PHOSPHATIDYL-1D-MYO-INOSITOL-5-PHOSPHA,13619,1806212;1806240;1806259;6810408,MNXM324,pail5p_cho_c;M_pail5p_cho;pail5p_cho
pail_cho,1-phosphatidyl-1D-myo-inositol(1-),C11H16O13PR2,,11280;11283;11291;11292;16749;19086;19088;28601;57880;677;679,HMDB06953,C01194,LMGP06010000,cpd11822,1-PHOSPHATIDYL-MYO-INOSITOL,5435,1524146;1806195;1806199;426639;426658;6798181,MNXM62,pail_cho_c;M_pail_cho;pail_cho
palmACP,Palmitoyl-ACP (n-C16:0ACP),C400H633O143N96P1S3,,,,,,,,,,MNXM2026,palmACP_c;M_palmACP;palmACP
pan4p,Pantetheine 4'-phosphate,C11H21N2O7PS,356.333,11916;14735;14736;14738;14825;16858;25844;29890;47942;7914,HMDB01416,C01134,,cpd27792,PHOSPHOPANTOTHEINE-GROUP,,,MNXM722721,pan4p_c;M_pan4p;pan4p
pap,"Adenosine 3',5'-bisphosphate",C10H11N5O10P2,423.1716,13735;17985;22240;2475;58343,HMDB00061;HMDB01468,C00054,,cpd00045,3-5-ADP,1672,158466;6809360;742343;8942170,MNXM45,pap_c;M_pap;pap
paps,3'-Phosphoadenylyl sulfate,C10H11N5O13P2S,503.235,11679;11680;1353;17980;19857;58339,HMDB01134;HMDB62646,C00053,,cpd00044,PAPS,1776,158471;741440,MNXM49,paps_c;M_paps;paps
pchol_cho,Phosphatidylcholine,,,61995,,C00157,LMGP01010000,cpd11624;cpd27789,PHOSPHATIDYLCHOLINE,5012,1524075;382539;426925;429785;429802,MNXM96952,pchol_cho_c;M_pchol_cho;pchol_cho
pcollg5glys,Galactosylated erythro-5-hydroxy-L-lysine (part of procollagen),X,,,,,,,,,,MNXM167776,pcollg5glys_c;M_pcollg5glys;pcollg5glys
pcollg5hlys,Procollagen 5-hydroxy-L-lysine,C7H14N3O3R2,,14890;51807;58867;8441,,C01211,,cpd27810,PROCOLLAGEN-5-HYDROXY-L-LYSINE,,,MNXM5281,pcollg5hlys_c;M_pcollg5hlys;pcollg5hlys
pcollglys,Procollagen L-lysine,C7H14N3O2R2,,14893;18180;8442,,C02188;C16740,,cpd12043;cpd19195,Protein-L-lysine,,,MNXM149166,pcollglys_c;M_pcollglys;pcollglys
pcreat,Phosphocreatine,C4H8N3O5P,209.0983,12526;14813;17287;26053;58092;8145,HMDB01511,C02305,,cpd01550,CREATINE-P,6126,200351,MNXM90130,pcreat_c
pcrn,Propionyl-carnitine,C10H19NO4,217.2622,21972;28867;7701,HMDB00824;HMDB62514,C03017,LMFA07070005;LMFA07070105,cpd01934,,2626,390274,MNXM3074,pcrn_c
pd3,Previtamin D3,C27H44O,384.6377,8403,HMDB06500,C07711,LMST03020222,cpd04847,CPD-10570,,,MNXM12733,pd3_c
pdx5p,Pyridoxine 5'-phosphate,C8H10NO6P,247.143,26430;28803;45202;58589;8672,HMDB01319,C00627,,cpd00478,PYRIDOXINE-5P,1684,964952,MNXM454,pdx5p_c;M_pdx5p;pdx5p
pe_cho,Phosphatidylethanolamine,C7H12NO8PR2,,12701;14803;16038;26030;26031;45210;57613;7661;8129,HMDB60501,C00350,LMGP02010000,cpd11456,,5052,1500581;1524083;1602375;162803;3234112,MNXM115,pe_cho_c;M_pe_cho;M_pe_hs;pe_cho;pe_hs
peamn,Phenethylamine,C8H12N,122.18700000000001,14782;18397;225237;25965;45001;50048;8063,HMDB12275;HMDB60276,C05332,,cpd03161,PHENYLETHYLAMINE,2769,500605,MNXM660,peamn_c;M_peamn;peamn
pecgon,Pseudoecgonine,C9H15NO3,185.2203,32072,HMDB06348,C12449,,cpd09200,,,,MNXM5912,pecgon_r
pecgoncoa,Pseudoecgonyl-CoA,C30H46N8O18P3S,931.717,32073,HMDB06403,C12450,LMFA07050365,cpd09201,,,,MNXM9060,pecgoncoa_r
pect,Pectins,C2535H3509O2535,,,,,,,,,,MNXM163549,pect_e;M_pect;pect
pectindchac,Pectin-deoxycholic acid complex,C2559H3549O2539,,,,,,,,,,MNXM165064,pectindchac_e;M_pectindchac;pectindchac
pectingchol,Pectin-glycocholate complex,C2561H3553NO2541,,,,,,,,,,MNXM165065,pectingchol_e;M_pectingchol;pectingchol
pectintchol,Pectin-taurocholic acid complex,C2561H3555NO2542S,,,,,,,,,,MNXM165066,pectintchol_e;M_pectintchol;pectintchol
pep,Phosphoenolpyruvate,C3H2O6P,165.0198,14812;18021;26054;26055;44894;44897;58702;8147,HMDB00263,C00074,,cpd00061,PHOSPHO-ENOL-PYRUVATE,32,29492;372364,MNXM73,pep_c;M_pep;pep
pepd,peptide,(C2H2NOR)nC2H3NOR,,14753;16670;25906;60466;7990,,C00012,,cpd11608,Peptides-holder,2562,1236715;1236719,MNXM639,pepd_c;M_pepd;M_peptide;pepd;peptide
peplys,Peptidyl-L-lysine,XH,,,,,,,,,,MNXM12612,peplys_e;M_peplys;peplys
pepslys,Peptide sans lysine,X,,,,,,,,,,MNXM20351,pepslys_r;M_pepslys;pepslys
peracd,Perillic acid,C10H13O2,165.2096,25936;29661;36999;62641,HMDB04586;HMDB06539,C11924,LMPR0102090041,cpd08721,CPD-12443,,,MNXM2414,peracd_c
perillyl,Perillyl alcohol,C10H16O,152.2334,10782,,,LMPR0102090008,,CPD-261,,,MNXM1695,perillyl_c;M_perillyl;perillyl
pglyc_cho,Phosphatidylglycerol(1-),C8H12O10PR2,,14804;17517;26032;26033;60523;64716;64961;8130,,C00344,LMGP04010000,cpd11652,,5051,,MNXM101192,pglyc_cho_c;M_pglyc_cho;pglyc_cho
pgp_cho,Phosphatidyl glycerol phosphate,C8H11O13P2R2,,14805;17264;36724;60522;8131;83196,,,,,,,,MNXM7650,pgp_cho_c;M_pgp_cho;pgp_cho
phaccoa,Phenylacetyl-CoA,C29H38N7O17P3S,881.637,14780;15537;25980;57390;8086,HMDB06503,C00582,,cpd00452,CPD-207,2106,177137,MNXM502,phaccoa_c;M_phaccoa;phaccoa
phe__L,L-Phenylalanine,C9H11NO2,165.1891,13151;17295;21370;25984;28044;32486;32487;32504;32505;44851;44885;45079;58095;6282;76052;8089,HMDB00159;HMDB00612,C00079;C02057;D00021,,cpd00066;cpd01400,PHE,2365;83,29502;351993;379701,MNXM97,phe__L_c;M_phe__L;phe__L
pheacgln,Alpha-N-Phenylacetyl-L-glutamine,C13H15N2O4,263.2697,10317;12294;17884;22439;58310,HMDB06344;HMDB62645,,,cpd02559,CPD-1097,,177152,MNXM3305,pheacgln_c
pheacgly,Phenylacetylglycine,C10H10NO3,192.1918,25983;27480;60874;613592;8088,HMDB00821,C05598,,cpd03325,CPD-11715,7999,,MNXM4775,pheacgly_m;M_pheacgly;pheacgly
pheme,Protoheme C34H30FeN4O4,C34H30FeN4O4,614.472,14957;17627;26355;5651;60344,,,,,PROTOHEME,,189444;71185;917877,MNXM249,pheme_m;M_pheme;pheme
phllqne,Phylloquinone,C31H46O2,450.6957,11611;14833;18067;26105;45148;8181,HMDB15157,C02059;D00148,LMPR02030028,,2-METHYL-3-PHYTYL-14-NAPHTHOQUINONE,5972,,MNXM1155,phllqne_c;M_phllqne;phllqne
pholys,5-Phosphonooxy-L-lysine,C6H14N2O6P,241.1595,12163;16752;20627;2122;57882,HMDB59600,C03366,,cpd02137,,6580,5696409,MNXM3988,pholys_c;M_pholys;pholys
phpyr,Phenylpyruvate,C9H7O3,163.1506,10548;12811;16815;23912;23914;23915;26009;30851;32815;45005;8105,HMDB12225,C02763,,cpd01784,ENOL-PHENYLPYRUVATE,2520,2160466,MNXM210,phpyr_c
phyt,Phytanic acid,C20H39O2,311.52299999999997,14834;16285;26109;26111;37257;8189,HMDB00801,C01607,LMPR0104010004,cpd01130,PHYTANATE,5693,389596,MNXM1774,phyt_c
phyt2ohcoa,2-Hydroxyphytanoyl-CoA,C41H70N7O18P3S,1074.019,11600;1170;15475;19657;57334,HMDB01295,C07343,LMFA07050185,cpd04546,2-HYDROXYPHYTANOYL-COA,,389594,MNXM938,phyt2ohcoa_x
phytcoa,Phytanoyl-CoA(4-),C41H70N7O17P3S,1058.02,14835;15538;26113;57391;8190,HMDB01359;HMDB06504,C02060,,cpd01402,CPD-206,5973,389615,MNXM931,phytcoa_c
pi,Phosphate,HO4P,95.9804,14791;18367;26078;29137;29139;35780;39739;39745;43470;43474;45024;7793,HMDB00973;HMDB01429;HMDB02105;HMDB02142;HMDB05947,C00009;D05467,,cpd00009,CPD-16459;Pi,36,109277;113548;113551;8851226;8851513,MNXM9,pi_c;M_pi;pi
pmtcoa,Palmitoyl-CoA (n-C16:0CoA),C37H62N7O17P3S,1001.913,14397;14732;15525;24543;57379;7898,HMDB01338;HMDB59623,C00154,LMFA07050360,cpd00134,PALMITYL-COA,1310,5358339,MNXM88,pmtcoa_c;M_pmtcoa;pmtcoa
pmtcrn,L-Palmitoylcarnitine,C23H45NO4,399.6077,13150;17490;21369;6281,HMDB00222;HMDB00846,C02990,LMFA07070004;LMFA07070079,cpd01915,CPD-419,2612,201034;201050,MNXM787,pmtcrn_c
pnto__R,(R)-Pantothenate,C9H16NO5,218.2276,11008;18700;18701;29032;44679;46905,HMDB62717,,,cpd00644,PANTOTHENATE,5286,,MNXM364,pnto__R_c;M_pnto__R;pnto__R
ppa,Propionate (n-C3:0),C3H5O2,73.0711,14903;17272;26290;26304;30768;45227;8476,HMDB00237,C00163;D02310,LMFA01010003,cpd00141,PROPIONATE,1955,,MNXM356,ppa_c
ppbng,Porphobilinogen,C10H13N2O4,225.2218,14867;17381;26212;44832;58126;8335,HMDB00245,C00931,,cpd00689,PORPHOBILINOGEN,5324,189464,MNXM554,ppbng_c;M_ppbng;ppbng
ppcoa,Propanoyl-CoA,C24H36N7O17P3S,819.568,14904;14907;15539;26295;57392;8479,HMDB01275,C00100,LMFA07050364,cpd00086,PROPIONYL-COA,1933,192314;70843,MNXM86,ppcoa_c;M_ppcoa;ppcoa
