,name,formula,mw,chebi,hmdb,kegg,lipidmaps,seed,metacyc,sabiork,reactome,mnxm,bigg
3otdcoa,3-Oxotetradecanoyl-CoA,C35H56N7O18P3S,987.8439999999999,1654;20183;28726;62543,HMDB03935;HMDB06527,C05261,LMFA07050256,cpd12689,CPD-10284,2738,77269,MNXM707,3otdcoa_x;3otdcoa;M_3otdcoa
3padsel,3'-Phosphoadenylylselenate,C10H11N5O13P2Se,550.13,1354;19856;28450,HMDB11104,C05696,,cpd03395,,,5357722,MNXM35962,3padsel_c
3pg,3-Phospho-D-glycerate,C3H4O7P,183.0351,11879;11880;12987;1657;17794;21029;58272,HMDB60180,C00197,,,G3P,21216,,MNXM126,3pg_c;3pg;M_3pg
3php,3-Phosphohydroxypyruvate,C3H2O7P,181.0192,11883;11884;1661;18110;20191;20192;30933,HMDB01024;HMDB60175,C03232,,cpd02069,3-P-HYDROXYPYRUVATE,2712,977329,MNXM541,3php_c;3php;M_3php
3sala,3-Sulfino-L-alanine,C3H6NO4S,152.15,11888;11889;16345;1664;21271;224037;41618;41721;61085;8973,HMDB00996;HMDB60179,C00606,,cpd00467,3-SULFINOALANINE,5155,1614519,MNXM498,3sala_c;3sala;M_3sala
3snpyr,3-Sulfinopyruvate,C3H2O5S,,,,,,,,,,MNXM162632,3snpyr_c;3snpyr;M_3snpyr
3spyr,3-Sulfopyruvate,C3H2O6S,166.11,11891;1669;16894;45736;57940,HMDB04045;HMDB60174,C05528,,cpd03285,CPD-380,2800,,MNXM594,3spyr_c;3spyr;M_3spyr
3tdcrn,3-hydroxy-tetradecanoyl carnitine,C21H41NO5,387.5539,73063,HMDB61640,,LMFA07070045,,,,,MNXM150929,3tdcrn_c;3tdcrn;M_3tdcrn
3uib,3-Ureidoisobutyrate,C5H9N2O3,145.1371,1670;74414,HMDB02031,C05100,,cpd03034,,2926,,MNXM1015,3uib_c;3uib;M_3uib
3ump,3  UMP C9H11N2O9P,C9H11N2O9P,322.1665,1361;27229;28895;46259;556513;60784,HMDB60282,C01368,,cpd00989,CPD-3724,1716,,MNXM2184,3ump_c;3ump;M_3ump
42A3HP24DB,"4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate",C10H8NO5,222.1748,1762;20284;27593,HMDB04083,C05645,,cpd03356,CPD-11552,8032,,MNXM4997,42A3HP24DB_c
44mctr,4 4 dimethylcholesta 8 14 24 trienol C29H46O,C29H46O,,,,,,,,,,MNXM97101,44mctr_c;44mctr;M_44mctr
44mzym,4 4 dimethylzymosterol C29H48O,C29H48O,,,,,,,,,,MNXM146507,44mzym_c;44mzym;M_44mzym
46dhoxquin,"4,6-Dihydroxyquinoline",C9H7NO2,161.1574,1755;26504;28799,HMDB04077,C05639,,cpd03350,,,,MNXM9072,46dhoxquin_c;46dhoxquin;M_46dhoxquin
48dhoxquin,"4,8-Dihydroxyquinoline",C9H7NO2,161.1574,1759;26505;28883,HMDB60289,C05637,,cpd03348,,,,MNXM9073,48dhoxquin_c;48dhoxquin;M_48dhoxquin
4aabutn,4 Acetamidobutanoate C6H10NO3,C6H10NO3,144.149,11951;17645;1777;20303,HMDB03681;HMDB06238;HMDB60265,C02946,,cpd01889,CPD-35,2601,,MNXM2083,4aabutn_c;4aabutn;M_4aabutn
4abut,4-Aminobutanoate,C4H9NO2,103.1198,11961;16865;1786;193777;20317;20318;30566;40483;59888,HMDB00112,C00334;D00058,LMFA01100039,cpd00281,4-AMINO-BUTYRATE,2021,352003;352011;428571;916850,MNXM192,4abut_c;4abut;M_4abut
4abutn,4-Aminobutanal,C4H10NO,88.1278,11960;17769;1785;20316;58264,HMDB01080;HMDB60247,C00555,,cpd00434,4-AMINO-BUTYRALDEHYDE,2092,,MNXM422,4abutn_c;4abutn;M_4abutn
4aphdob,"4-(2-Aminophenyl)-2,4-dioxobutanoate",C10H8NO4,206.1754,11931;11932;17442;1765;20286;58147,HMDB00978,C01252,,cpd00920,CPD-476,5475,893615;893617,MNXM466,4aphdob_c
4fumacac,4 Fumarylacetoacetate C8H6O6,C8H6O6,198.1307,11988;18034;1830;20368;20369;30907,HMDB01268;HMDB01428,C01061,LMFA01170066,cpd00780,4-FUMARYL-ACETOACETATE,,,MNXM708,4fumacac_c;4fumacac;M_4fumacac
4h2oglt,4 Hydroxy 2 oxoglutarate C5H4O6,C5H4O6,160.0828,11993;17742;1838;20374;20375;30923;36148,HMDB01479;HMDB02070,C01127,,cpd00830,CPD-15015,2252,,MNXM894,4h2oglt_c;4h2oglt;M_4h2oglt
4hbz,4-Hydroxybenzoate,C7H5O3,137.1133,12003;17879;1858;20397;20398;30763;44949,HMDB00500,C00156,,cpd00136,4-hydroxybenzoate,1951,2162213,MNXM164,4hbz_c;4hbz;M_4hbz
4hbzcoa,4 hydroxybenoyl CoA C28H36N7O18P3S,C28H36N7O18P3S,883.61,12004;12005;15500;1859;20399;40998;57356,HMDB06467;HMDB60140,C02949,,cpd01892;cpd16876,CPD-201,2603,,MNXM739,4hbzcoa_m;4hbzcoa;M_4hbzcoa
4hdebrisoquine,4hdebrisoquine c,C10H14N3O,,,,,,,,,,MNXM10135,4hdebrisoquine_c;4hdebrisoquine;M_4hdebrisoquine
4hglusa,L 4 Hydroxyglutamate semialdehyde C5H9NO4,C5H9NO4,147.1293,21213;27809;6169;62637,HMDB06556,C05938,,cpd03530,L-4-HYDROXYGLUTAMATE_SEMIALDEHYDE,,,MNXM2687,4hglusa_m;4hglusa;M_4hglusa
4hoxpacd,4-Hydroxyphenylacetaldehyde,C8H8O2,136.1479,10899;12012;15621;1872;20417,HMDB03767,C03765,,cpd02361,HYDRPHENYLAC-CPD,6840,500608;5696178,MNXM479,4hoxpacd_c;4hoxpacd;M_4hoxpacd
4hphac,4-Hydroxyphenylacetate,C8H8O3,152.1473,31128,HMDB60390,C13636,,cpd19151,,2131,,MNXM3863,4hphac_c;4hphac;M_4hphac
4hpro_LT,Trans 4 Hydroxy L proline C5H9NO3,C5H9NO3,131.1299,10714;12864;18095;27060;43172;43210;43227;43318;49360;58375,,C01157,,cpd00851,4-HYDROXY-L-PROLINE;CPD-17742,,,MNXM87584,4hpro_LT_c;4hpro_LT;M_4hpro_LT
4izp,4-Imidazolone-5-propanoate,C6H7N2O3,155.1319,11041;11730;1886;20430;20431;27384;57255;58508;77893,HMDB62719,C03680,,cpd02311,4-IMIDAZOLONE-5-PROPIONATE,,34979,MNXM90394,4izp_c;4izp;M_4izp
4mlacac,4 Maleylacetoacetate C8H6O6,C8H6O6,198.1307,12018;133872;17105;1888;20433;20434;47904,HMDB02052,C01036,LMFA01170114,cpd00763,4-MALEYL-ACETOACETATE,5369,31135,MNXM691,4mlacac_c;4mlacac;M_4mlacac
4mop,4-Methyl-2-oxopentanoate,C6H9O3,129.1344,12020;17865;1891;20438;41619;48430,HMDB00695;HMDB00762,C00233,,cpd00200,2K-4CH3-PENTANOATE,1985,,MNXM404,4mop_c;4mop;M_4mop
4mptnl,4-Methylpentanal,C6H12O,,,,,,,,,,MNXM162907,4mptnl_c;4mptnl;M_4mptnl
4mtolbutamide,4mtolbutamide c,C12H18N2O4S,,,,,,,,,,MNXM10136,4mtolbutamide_c;4mtolbutamide;M_4mtolbutamide
4mzym_int1,4 Methylzymosterol intermediate 1 C29H46O3,C29H45O3,441.0,,HMDB60146,,,cpd15212,,,,MNXM7449,4mzym_int1_c;4mzym_int1;M_4mzym_int1
4mzym_int2,4 Methylzymosterol intermediate 2 C28H44O,C28H44O,396.0,,HMDB60142,,,cpd15213,,,,MNXM8744,4mzym_int2_c;4mzym_int2;M_4mzym_int2
4nph,4-Nitrophenol,C6H4NO3,138.1014,12034;16836;1913;20457;44390;57917,HMDB01232;HMDB62627,C00870,,cpd00646,P-NITROPHENOL,5292,5695950,MNXM526,4nph_c
4nphsf,4-Nitrophenyl sulfate,C6H4NO6S,,,,,,,,,,MNXM10226,4nphsf_c;4nphsf;M_4nphsf
4ppan,D-4'-Phosphopantothenate,C9H15NO8P,296.1927,10986;12886;15905;18702;20891;4082,HMDB01016;HMDB62700,C03492,,cpd02201,4-P-PANTOTHENATE,6663,196786,MNXM415,4ppan_c;4ppan;M_4ppan
4ppcys,N-((R)-4-Phosphopantothenoyl)-L-cysteine,C12H20N2O9PS,399.336,10987;12438;15769;21461;328;57507;59458,,C04352,,cpd02666,R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE,7255,196834,MNXM483,4ppcys_c;4ppcys;M_4ppcys
4pyrdx,4-Pyridoxate,C8H8NO4,182.15400000000002,12043;17405;1928;20473;20474;30959,HMDB00017,C00847,,cpd00631,CPD-1112,5273,3204324,MNXM1530,4pyrdx_c
4tmeabut,4-Trimethylammoniobutanal,C7H16NO,130.2075,12046;18020;1940;20483,HMDB01345,C01149,,cpd00845,4-TRIMETHYLAMMONIOBUTANAL,2257,31311,MNXM940,4tmeabut_c
4tmeabutn,4-Trimethylammoniobutanoate,C7H15NO2,145.1995,12047;16244;1941;20484,HMDB01161,C01181,,cpd00870,GAMMA-BUTYROBETAINE,5425,31369,MNXM626,4tmeabutn_c;4tmeabutn;M_4tmeabutn;M_gbbtn;gbbtn
56dihindlcrbxlt,"5,6-Dihydroxyindole-2-carboxylate",C9H6NO4,192.1488,12081;16875;2003;20515;49108,HMDB01253,C04185,,cpd02571,56-DIHYDROXYINDOLE-2-CARBOXYLATE,,5662665;5662670,MNXM2947,56dihindlcrbxlt_c
56dthm,"5,6-Dihydrothymine",C5H8N2O2,128.1292,1998;20510;27468,HMDB00079,C00906,,cpd00673,DIHYDRO-THYMINE,2185,73541,MNXM772,56dthm_c;56dthm;M_56dthm
56dura,"5,6-dihydrouracil",C4H6N2O2,114.1026,12078;15901;19360;1999;20511;28622;42107;921,HMDB00076,C00429,,cpd00337,DI-H-URACIL,2930,73584,MNXM506,56dura_c;56dura;M_56dura
56iqcrbxlt,"5,6-Indolequinone-2-carboxylic acid",C9H4NO4,190.1329,81394,,C17938,,cpd17924,CPD-12374,,8878586,MNXM6292,56iqcrbxlt_c;56iqcrbxlt;CE1562;M_56iqcrbxlt;M_CE1562
5HPET,"5-Hydroperoxy-6-trans-8,11,14-cis-eicosatetraenoate",C20H31O4,335.4583,10924;15632;18601;20573;2061;57450;60942,HMDB01193,C05356,LMFA03060012,cpd03176,6E8Z11Z14Z-5S-5-HYDROPEROXYCOSA-6,7864,266010,MNXM808,5HPET_c
5a2opntn,5-Amino-2-oxopentanoate,C5H9NO3,131.1299,12104;17572;2026;20540;49268;58802,HMDB06272,C01110,LMFA01060169,cpd00815,5-AMINO-2-OXOPENTANOATE,2247,,MNXM1714,5a2opntn_x;5a2opntn;M_5a2opntn
5adtststerone,5alpha-Dihydrotestosterone,C19H30O2,290.4403,11341;11342;16330;19175;41876;793,HMDB02961,C03917;D07456,LMST02020042,cpd02435,17-BETA-HYDROXY-5ALPHA-ANDROSTAN-3-O,6946,469662,MNXM623,5adtststerone_c
5adtststeroneglc,5alpha-Dihydrotestosterone glucuronide,C25H38O8,,,,,,,,,,MNXM8181,5adtststeroneglc_c;5adtststeroneglc;M_5adtststeroneglc
5adtststerones,5alpha-Dihydrotestosterone sulfate,C19H29O5S,,,,,,,,,,MNXM10347,5adtststerones_c;5adtststerones;M_5adtststerones
5aizc,5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate,C9H12N3O9P,337.1811,12103;18968;28413;41336;575;58564;77657,HMDB06273;HMDB62424,C04751,,cpd02893,PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE,,111395,MNXM507,5aizc_c;5aizc;M_5aizc
5aop,5-Amino-4-oxopentanoate,C5H9NO3,131.1299,12109;132970;17549;2034;20547;356416,HMDB01149,C00430;D07567,LMFA01100055,cpd00338,5-AMINO-LEVULINATE,,189466;189489,MNXM405,5aop_c;5aop;M_5aop
5dhf,Pentaglutamyl folate (DHF),C39H43N11O18,,,,,,,,,,MNXM4080,5dhf_c;5dhf;M_5dhf
5dpmev, R  5 Diphosphomevalonate C6H10O10P2,C6H10O10P2,304.0873,10989;15899;18674;332;57557,HMDB01090,C01143,LMFA01050416,cpd00841,CPD-641,5408,191403,MNXM689,5dpmev_c;5dpmev;M_5dpmev
5forthf,5-Formiminotetrahydrofolate,C20H22N8O6,470.4398,12126;15639;18603;2056;57456,HMDB01534,C00664,,cpd00502,CPD-671,1913,70919,MNXM915,5forthf_c;5forthf;M_5forthf
5fthf,5-Formyltetrahydrofolate,C20H21N7O7,471.4245,12127;15640;18607;2057;57457;63606;65340,HMDB01562;HMDB06206;HMDB62757,C03479;D07986,,cpd02197,5-FORMYL-THF,6654,,MNXM1392,5fthf_c;5fthf;M_5fthf
5g2oxpt,2-Oxoarginine,C6H11N3O3,173.1698,12129;1249;18253;19740;20572;2060;28116;58489,HMDB04225;HMDB06815,C03771,,cpd02364;cpd03528,CPD-824,6844,,MNXM1037,5g2oxpt_x;5g2oxpt;M_5g2oxpt
5homeprazole,5homeprazole c,C17H19N3O4S,,,,,,,,,,MNXM10267,5homeprazole_c;5homeprazole;M_5homeprazole
5hoxindact,5-Hydroxyindoleacetaldehyde,C10H9NO2,175.18400000000003,20583;2070;50157,HMDB04073,C05634,,cpd03345,5-HYDROXYINDOLE_ACETALDEHYDE,8021,380598;500604,MNXM1057,5hoxindact_c;5hoxindact;M_5hoxindact
5hoxindoa,5-Hydroxyindoleacetate,C10H8NO3,190.176,20585;2071;27823;62622,HMDB00763,C05635,,cpd03346,5-HYDROXYINDOLE_ACETATE,8022,380593,MNXM1961,5hoxindoa_c
5hoxnfkyn,5-Hydroxy-N-formylkynurenine,C11H12N2O5,252.2234,2065,HMDB04086,C05648,,cpd03359,,8035,,MNXM5015,5hoxnfkyn_c
5htrp,5-Hydroxy-L-tryptophan,C11H12N2O3,220.2246,12133;17780;20577;2064;58266,HMDB00472;HMDB00504;HMDB15571,C00643;D07339,,cpd00490,5-HYDROXY-TRYPTOPHAN,2132,,MNXM722724,5htrp_c
5hxkyn,5-Hydroxykynurenine,C10H12N2O4,224.2133,2076,HMDB12819,C05651,,cpd03362,,,,MNXM2621,5hxkyn_c
5hxkynam,5-Hydroxykynurenamine,C9H13N2O2,181.2112,20589;2075;28715;62214,HMDB04076,C05638,,cpd03349,,,,MNXM3508,5hxkynam_c;5hxkynam;M_5hxkynam
5mdr1p,5-Methylthio-5-deoxy-D-ribose 1-phosphate,C6H11O7PS,258.187,12767;12769;12770;20614;20616;2102;27859;30309;30310;30311;58533,,C04188,,cpd02574;cpd29669,CPD-444,1642,1237165,MNXM407,5mdr1p_c;5mdr1p;M_5mdr1p
5mdru1p,5-Methylthio-5-deoxy-D-ribulose 1-phosphate,C6H11O7PS,258.187,12768;20615;2100;28096;44141;58548,HMDB01299;HMDB62647,C04582,,cpd02791,CPD-1063,,1237107,MNXM522,5mdru1p_c;5mdru1p;M_5mdru1p
5mta,5-Methylthioadenosine,C11H15N5O3S,297.334,12055;12064;12771;14605;17509;18175;1966;1986;20491;20494;44181,HMDB01173,C00170,,cpd00147,5-METHYLTHIOADENOSINE,1960,353106;5279412,MNXM150,5mta_c;5mta;M_5mta
5mthf,5-Methyltetrahydrofolate,C20H23N7O6,457.441,12146;136009;15641;18608;20612;2097,HMDB01396,C00440,,cpd00345,,2051,200665;200709,MNXM318,5mthf_c;5mthf;M_5mthf
5oxpro,5-Oxoproline,C5H6NO3,128.1066,12157;16010;20624;2116;44943;57606,HMDB00805;HMDB60262,,,cpd01293,,,1247942,MNXM964,5oxpro_c;5oxpro;M_5oxpro
5pmev, R  5 Phosphomevalonate C6H10O7P,C6H10O7P,225.1148,10990;10991;17436;18675;333;58146,HMDB01343,C01107,LMFA01050415,cpd00812,CPD-499,5389,,MNXM567,5pmev_c;5pmev;M_5pmev
5thf,Pentaglutamyl folate (THF),C39H45N11O18,,,,,,,,,,MNXM3687,5thf_c;5thf;M_5thf
6a2ohxnt,6-Amino-2-oxohexanoate,C6H11NO3,145.1564,12205;17534;20701;2170;58183,HMDB12151,C03239,,cpd02074,2-KETO-6-AMINO-CAPROATE,6500,,MNXM916,6a2ohxnt_x;6a2ohxnt;M_6a2ohxnt
6dhf,Haxglutamyl folate (DHF),C44H49N12O21,,,,,,,,,,MNXM3615,6dhf_c;6dhf;M_6dhf
6hoxmelatn,6hoxmelatn c,C13H16N2O3,248.2777,2198,HMDB04081,C05643,,cpd03354,CPD-12014,8030,,MNXM5567,6hoxmelatn_c
6htststerone,6 beta hydroxy testosterone,C19H28O3,,,,,,,,,,MNXM163219,6htststerone_c;6htststerone;M_6htststerone
6pgc,6-Phospho-D-gluconate,C6H10O10P,273.113,12232;16863;2231;33851;40282;48928;58759,HMDB01316;HMDB62800,C00345,,cpd00284,CPD-2961,2024;22801,29996,MNXM325,6pgc_c;6pgc;M_6pgc
6pgl,"6-phospho-D-glucono-1,5-lactone",C6H9O9P,256.1051,12233;12958;16938;20989;4160;57955,HMDB01127;HMDB62628,C01236,,cpd00911,D-6-P-GLUCONO-DELTA-LACTONE,1366,31467,MNXM429,6pgl_c;6pgl;M_6pgl
6pthp,"6-Pyruvoyl-5,6,7,8-tetrahydropterin",C9H11N5O3,237.2153,12234;12235;12236;17804;20757;2235,HMDB01195,C03684,,cpd02315,6-PYRUVOYL-5678-TETRAHYDROPTERIN,6793,1474179,MNXM467,6pthp_c
6thf,Hexaglutamyl folate  (THF),C44H51N12O21,,,,,,,,,,MNXM3616,6thf_c;6thf;M_6thf
7dhchsterol,"Cholesta-5,7-dien-3beta-ol",C27H44O,384.6377,13981;17759;23181;3658,HMDB00032,C01164,LMST01010069,cpd00857,CPD-4187,5416,209763;6807057,MNXM710,7dhchsterol_c
7dhf,Heptaglutamyl folate (DHF),C49H55N13O24,,,,,,,,,,MNXM5779,7dhf_c;7dhf;M_7dhf
7thf,Heptaglutamyl folate (THF),C49H57N13O24,,,,,,,,,,MNXM5780,7thf_c;7thf;M_7thf
9_cis_retfa,Fatty acid 9-cis-retinol,C20H29OR2CO,,,,,,,,,,MNXM146565,9_cis_retfa_c;9_cis_retfa;M_9_cis_retfa
ACP,Acyl carrier protein,HSR,,14405;18359;2458,,C00229,,cpd11493,ACP,2186,,MNXM925,ACP_c;ACP;M_ACP
Asn_X_Ser_Thr,Asn  X  Ser FSLASH Thr l,C5H7N3O3R2,,,,,,,,,,MNXM145923,Asn_X_Ser_Thr_l;Asn_X_Ser_Thr;M_Asn_X_Ser_Thr
C01241,Phosphatidyl-N-methylethanolamine,C8H14NO8PR2,,14799;14800;15958;26027;57588;73160;8126,,C01241,,cpd11829,CPD-405,5467,,MNXM91270,C01241_c;C01241;M_C01241
C01507,"L-Iditol; (2R,3S,4S,5R)-Hexane-1,2,3,4,5,6-hexol",C6H14O6,182.1718,13125;18202;21334;6249,HMDB11632,C01507,,cpd01066,CPD-369,2290,,MNXM3633,C01507_c
C01601,Nonanoate,C9H17O2,157.2306,25861;29019;32361;7616,HMDB00847,C01601,LMFA01010009,cpd01126,CPD-8505,2299,,MNXM12480,C01601_c;C01601;M_C01601;M_nona;nona
C01747,Psychosine(1+); Galactosylsphingosine,C24H48NO7,462.6399,14966;16874;26370;57934;8619,,C01747,LMSP07000001,cpd01205,PSYCHOSINE,,,MNXM2719,C01747_c
C01836,Neurotensin,C78H122N21O20,1673.9314,7542,,C01836,,cpd11960,,5833,,MNXM64520,C01836_c;C01836;M_C01836
C02147,Dihydrolipoate,C8H15O2S2,207.334,14154;18047;23751;23752;30316;4569,HMDB12210,C02147,,cpd01454,CPD-296,6031,,MNXM3585,C02147_c;C02147;M_C02147
C02356,(S)-2-Aminobutanoate,C4H9NO2,103.1198,18733;18734;28340;35619;35723;376;46346;74359,HMDB00452;HMDB00581;HMDB05815,C02356,LMFA01100034,cpd01573,CPD0-1942,21104,,MNXM17054,C02356_c;C02356;M_C02356
C02442,N-methyltyraminium,C9H14NO,152.213,12524;17458;21775;58155;7327,HMDB03633;HMDB60283;HMDB60284,C02442,,cpd01610,CPD-391,,,MNXM3670,C02442_c;C02442;M_C02442
C02470,Xanthurenic acid,C10H6NO4,204.1595,10072;71201,HMDB00881,C02470,,cpd01625,XANTHURENATE,,,MNXM5989,C02470_c;C02470;M_C02470
C02528,Chenodeoxycholate,C24H39O4,391.5646,13960;16755;23093;23094;3588;3593;36234;57884,HMDB00518,C02528;D00163,LMST04010032,cpd01663,CPD-15189,6249,194096,MNXM1183,C02528_c;C02528;M_C02528
C02712,N-Acetylmethionine,C7H12NO3S,190.24099999999999,132957;132958;7211,,C02712,,cpd01756,,,,MNXM722898,C02712_c;C02712;M_C02712
C02744,Psychosine sulfate,C24H47NO10S,541.696,14967;17507;26371;58170;8620,HMDB13046,C02744,LMSP08000002,cpd01778,CPD-518,,,MNXM7718,C02744_c;C02744;M_C02744
C03413,"N(1),N(12)-diacetylsperminium(2+)",C14H32N4O2,288.4284,21796;28101;58550;7353,HMDB02172;HMDB62649,C03413,,cpd02158,CPD-11268,,,MNXM4676,C03413_c;C03413;M_C03413
C03577,20-hydroxy-leukotriene E4(1-),C23H36NO6S,454.601,11660;1291;19798;28700;58584,HMDB12639,C03577,LMFA03020025;LMFA03020062,cpd02247,20-HYDROXY-LEUKOTRIENE-E4,,,MNXM3823,C03577_x;C03577;M_C03577
C03681,"5alpha-Pregnane-3,20-dione",C21H32O2,316.4776,12175;20657;2144;28952,,C03681,LMST02030170,cpd02312,CPD-293,6790,,MNXM1066,C03681_c;C03681;M_C03681
C03693,"D-Mannose 1,6-bisphosphate",,,4209,HMDB60269,C03693,,cpd02320,,1488,,MNXM48557,C03693_c;C03693;M_C03693
C03958,Thyrotropin releasing hormone,C16H22N6O4,362.3837,35940;8584;9585,HMDB60080,C03958;D00176,,cpd02457,,,,MNXM21371,C03958_e;C03958;M_C03958
C04295,"Androst-5-ene-3beta,17beta-diol",C19H30O2,290.4403,2710,,C04295;D00179,LMST02020005,cpd02637,,7215,,MNXM2973,C04295_c;C04295;M_C04295
C04717,13(S)-HPODE(1-),C18H31O4,311.4369,10941;15655;18619;18620;264;39536;57466,HMDB03871,C04717,LMFA02000034,cpd02873,13-HYDROPEROXYOCTADECA-911-DIENOATE,7512,,MNXM2313,C04717_c;13Shpocdcy1829Z11Ea;M_13Shpocdcy1829Z11Ea
C04805,5(S)-HETE,C20H31O3,319.4589,20581;2068;28209;90632,,C04805,LMFA03060002,,,,2142733,MNXM38414,C04805_c;C04805;M_C04805
C04843,"(5Z,9E,12S,14Z)-8,11,12-trihydroxyicosa-5,9,14-trienoate",C20H33O5,353.4736,10922;15630;18598;253;57448,HMDB60107,C04843,LMFA03050022,,,,2142713,MNXM5376,C04843_c;C04843;M_C04843
C04849,"(5Z,9E,14Z)-(8xi,11R,12S)-11,12-epoxy-8-hydroxyicosa-5,9,14-trienoate",C20H31O4,335.4583,10923;15631;18597;252;57449,HMDB62619,C04849,,,CPD-2044,,,MNXM4921,C04849_c;C04849;M_C04849
C05284,"11beta-Hydroxyandrost-4-ene-3,17-dione",C19H26O3,302.4079,19132;27967;736,HMDB06773,C05284,LMST02020066,cpd03135,,,,MNXM2593,C05284_c;C05284;M_C05284
C05298,2-Hydroxyestrone,C18H22O3,286.3655,1156,HMDB00343,C05298,LMST02010032,cpd03143,,7836,,MNXM3813,C05298_c;C05298;M_C05298
C05299,2-Methoxyestrone,C19H24O3,300.3921,1189,HMDB00010;HMDB04990;HMDB04991,C05299,LMST02010033,cpd03144,,,,MNXM4971,C05299_c;C05299;M_C05299
C05300,16alpha-Hydroxyestrone,C18H22O3,286.3655,60497;776,HMDB00335,C05300,LMST02010041,cpd03145,,,,MNXM3794,C05300_c;C05300;M_C05300
C05301,2-Hydroxyestradiol-17beta,C18H24O3,288.3814,1155;19637;28744;42267,HMDB00338;HMDB03962,C05301,LMST02010027,cpd03146,2-HYDROXY-ESTRADIOL,21019;7839,,MNXM2926,C05301_c;C05301;M_C05301
C05302,2-Methoxyestradiol-17beta,C19H26O3,302.4079,1187;19675;28955;42274,,C05302,LMST02010035,cpd03147,,,,MNXM4970,C05302_c;C05302;M_C05302
C05708,Selenomethionine se-oxide,C5H11NO3Se,212.11,26639;28434;9099,HMDB60257,C05708,,cpd03406,,,,MNXM81813,C05708_c;C05708;M_C05708
C05769,Coproporphyrin I,C36H34N4O8,650.6794,23383;28421;3876,HMDB00643,C05769,,cpd03417,COPROPORPHYRIN_I,,,MNXM8445,C05769_c
C05957,Prostaglandin J2,C20H29O4,333.4424,133396;26332;27485;8521,HMDB02710;HMDB05078,C05957,LMFA03010019,cpd03546,,8299,2142674,MNXM7704,C05957_c;C05957;M_C05957
C06199,Hordenine,C10H16NO,166.2396,5764,HMDB04366,C06199,,cpd03707,,,,MNXM11832,C06199_c;C06199;M_C06199
C06314,Lipoxin A4(1-),C20H31O5,351.4577,6498;67026,HMDB04385,C06314,LMFA03040001,cpd03755,CPD66-51,,2161759,MNXM12129,C06314_c;C06314;M_C06314
C06315,Lipoxin B4(1-),C20H31O5,351.4577,6499;67031,HMDB05082,C06315,LMFA03040002,cpd03756,CPD66-56,,,MNXM12130,C06315_c;C06315;M_C06315
C06350,"(R,S)-Norlaudanosoline",C16H18NO4,288.3179,18715;28770;362,HMDB12486,C06350,,cpd03791,,8568,,MNXM114536,C06350_c;C06350;M_C06350
C06453,Methylcobalamin,C63H94CoN13O14P,1347.405,,HMDB02274,C06453;D03246,,cpd12878,,,,MNXM90852,C06453_c;C06453;M_C06453
C06948,Diazepam,C16H13ClN2O,284.74,4494;49574;49575,HMDB14967,C06948;D00293,,cpd04280,,,,MNXM50391,C06948_c;C06948;M_C06948
C07486,Nordazepam,C15H11ClN2O,270.714,111762;7624,HMDB60538;HMDB61094,C07486;D08283,,cpd04658,,,,MNXM64920,C07486_c;C07486;M_C07486
C07535,Benzpyrene,C20H12,252.3093,22716;29865;3045,HMDB62469,C07535,,cpd04705,,,,MNXM3216,C07535_c;C07535;M_C07535
C08261,Azelaic acid; nonanedioic acid,C9H14O4,186.2062,132955;2949;40912;48131;78208,HMDB00784,C08261;D03034,LMFA01170054,cpd05177,CPD0-1265,,,MNXM43148,C08261_c
C08276,3-(methylthio)propionate,C4H7O2S,119.163,1438;49016,HMDB01527,C08276,LMFA01130006,cpd05191,CPD-7672,,,MNXM2782,C08276_c;3mtp;C08276;M_3mtp;M_C08276;M_mtpp;mtpp
C09209,Harman,C12H10N2,182.2212,5623,HMDB35196,C09209,,cpd06104,CPD66-92,,,MNXM11747,C09209_c;C09209;M_C09209
C09640,(-)-Salsoline,C11H16NO2,194.2497,112,HMDB12469,C09640,,cpd06534,,,,MNXM13455,C09640_c;C09640;M_C09640
C09642,(-)-Salsolinol,C10H14NO2,180.2231,113,HMDB42012,C09642,,cpd06536,,,,MNXM9366,C09642_c;C09642;M_C09642
C10164,Picolinic acid; pyridine-2-carboxylic acid,C6H4NO2,122.102,26128;28747;38184;47159;8201,HMDB02243,C10164,,cpd07053,PICOLINATE,12249,,MNXM12691,C10164_c
C11304,S-(PGA1)-glutathione,C30H47N3O10S,641.774,8937,HMDB13061,C11304,,cpd08162,,,,MNXM81247,C11304_c;C11304;M_C11304
C11695,Anandamide,C22H37NO2,347.5347,2700;88116,HMDB04080,C11695,LMFA08040001;LMFA08040056,cpd08505,CPD-7598,13755,5693752;5693754,MNXM5060,C11695_c;C11695;M_C11695
C11821,5-Hydroxyisourate,C5H4N4O4,184.1097,12137;18072;20588;2074;59562,HMDB30097,C11821,,cpd08625,5-HYDROXYISOURATE,1921,,MNXM1137,C11821_c;5hiu;C11821;M_5hiu;M_C11821
